dimension,rule_accuracy,rule_weighted_f1,baseline_accuracy,baseline_weighted_f1,support
D1,0.6,0.5602484472049689,0.7,0.5764705882352941,30
D2,0.5666666666666667,0.5593714927048261,0.5333333333333333,0.3710144927536232,30
D3,0.7666666666666667,0.7511111111111112,0.7,0.5764705882352941,30
D5,0.43333333333333335,0.4314253647586981,0.5333333333333333,0.3710144927536232,30
overall,0.5916666666666667,0.5765942751899317,0.6166666666666667,0.5937321937321938,120
