dimension,rule_accuracy,rule_weighted_f1,baseline_accuracy,baseline_weighted_f1,support
D1,0.43333333333333335,0.43593406593406586,0.4666666666666667,0.29696969696969694,30
D2,0.43333333333333335,0.4476543209876543,0.5333333333333333,0.3710144927536232,30
D3,0.43333333333333335,0.5066666666666666,0.6333333333333333,0.49115646258503404,30
D5,0.3,0.2970819304152637,0.4666666666666667,0.29696969696969694,30
overall,0.4,0.4200207333398635,0.525,0.4638110072689512,120
